CountryCode,CityName,Type
ru,tura,Valid
pa,jaque,Valid
ch,uster,Valid
us,destin,Valid
XX,InvalidCity_86,Invalid
ca,north bay,Valid
ng,biu,Valid
sv,sonzacate,Valid
ru,sudislavl,Valid
ru,alabino,Valid
md,leova,Valid
ru,kirgiz-miyaki,Valid
nl,asten,Valid
us,adelanto,Valid
XX,InvalidCity_70,Invalid
za,richards bay,Valid
ng,biu,Valid
ca,wiarton,Valid
XX,InvalidCity_75,Invalid
ch,uster,Valid
ph,caloocan,Valid
jp,atami,Valid
id,sukabumi,Valid
br,artur nogueira,Valid
hu,herend,Valid
pa,buena vista,Valid
no,sauda,Valid
XX,InvalidCity_81,Invalid
br,custodia,Valid
hu,kerekegyhaza,Valid
ch,uster,Valid
ru,volchikha,Valid
in,chopan,Valid
XX,InvalidCity_40,Invalid
ch,uster,Valid
zm,mpongwe,Valid
ua,bolekhiv,Valid
us,colchester,Valid
in,chopan,Valid
bo,sipe sipe,Valid
nz,clyde,Valid
pk,shahpur city,Valid
ph,san nicolas,Valid
de,gaggenau,Valid
gt,atescatempa,Valid
br,luz,Valid
ws,fogatuli,Valid
br,itaberai,Valid
mx,jacala,Valid
de,verl,Valid
at,hopfgarten,Valid
ch,uster,Valid
kz,stepnyak,Valid
uz,termiz,Valid
ua,teplodar,Valid
cd,kamina,Valid
es,montoro,Valid
in,kamareddi,Valid
pk,shahpur city,Valid
mx,el sauzal,Valid
pk,shahpur city,Valid
us,gardner,Valid
us,tulsa,Valid
ph,bolaoit,Valid
co,totoro,Valid
in,chopan,Valid
us,tulsa,Valid
rs,despotovac,Valid
ph,japitan,Valid
gr,strimonikon,Valid
mx,tototlan,Valid
in,gajraula,Valid
in,dera baba nanak,Valid
ro,studina,Valid
ph,nueva fuerza,Valid
ch,uster,Valid
us,tulsa,Valid
in,chopan,Valid
ru,dyshne-vedeno,Valid
ph,rimos,Valid
co,momil,Valid
XX,InvalidCity_42,Invalid
ch,uster,Valid
no,hauknes,Valid
no,brandsoy,Valid
th,nong chik,Valid
XX,InvalidCity_19,Invalid
ml,nara,Valid
mx,xometla,Valid
in,jhalawar,Valid
nz,clyde,Valid
ru,bukachacha,Valid
in,chopan,Valid
pt,porto santo,Valid
ph,santa monica,Valid
it,giugliano in campania,Valid
in,pali,Valid
XX,InvalidCity_18,Invalid
ni,waslala,Valid
in,raisen,Valid
no,tornes,Valid
ng,biu,Valid
gb,aylesbury,Valid
in,haringhata,Valid
ru,vychegodskiy,Valid
ng,biu,Valid
fr,comines,Valid
co,santa barbara,Valid
pa,panama,Valid
XX,InvalidCity_0,Invalid
do,la romana,Valid
XX,InvalidCity_82,Invalid
us,roosevelt,Valid
us,shelton,Valid
nz,clyde,Valid
pk,gujar khan,Valid
XX,InvalidCity_54,Invalid
it,anagni,Valid
mx,palenque,Valid
it,ardea,Valid
ve,san felipe,Valid
nz,clyde,Valid
us,highland park,Valid
at,judenburg,Valid
XX,InvalidCity_56,Invalid
us,edison,Valid
be,aalter,Valid
XX,InvalidCity_69,Invalid
in,chopan,Valid
et,bedesa,Valid
no,as,Valid
it,ostuni,Valid
XX,InvalidCity_94,Invalid
hu,kapolnasnyek,Valid
ro,horgesti,Valid
ru,sudislavl,Valid
lc,vieux fort,Valid
no,sauda,Valid
de,drolshagen,Valid
es,andujar,Valid
bg,varna,Valid
pa,nargana,Valid
it,santeramo in colle,Valid
ph,santa cruz,Valid
br,urupes,Valid
fo,hestur,Valid
XX,InvalidCity_67,Invalid
cn,kaili,Valid
de,meppen,Valid
us,southglenn,Valid
ru,klyuchevskiy,Valid
in,chopan,Valid
ru,verbilki,Valid
de,bad wildungen,Valid
us,tulsa,Valid
sv,delgado,Valid
pk,shahpur city,Valid
id,sumedang,Valid
ru,khristoforovo,Valid
tz,mlandizi,Valid
us,dublin,Valid
tr,sungurlu,Valid
XX,InvalidCity_5,Invalid
gb,newtonmore,Valid
ru,sudislavl,Valid
ro,bogdan voda,Valid
nz,clyde,Valid
in,khour,Valid
XX,InvalidCity_62,Invalid
hu,tiszanana,Valid
ru,visim,Valid
br,ibirite,Valid
bj,natitingou,Valid
id,tangerang,Valid
pl,sosnowiec,Valid
ru,barybino,Valid
cn,kaili,Valid
fr,metz,Valid
no,sauda,Valid
cn,jiangyan,Valid
ru,sudislavl,Valid
nz,clyde,Valid
pk,shahpur city,Valid
be,zelzate,Valid
pk,cherat,Valid
us,peterborough,Valid
ng,biu,Valid
ro,lisa,Valid
hu,bohonye,Valid
gr,kranidion,Valid
in,chopan,Valid
ru,ust-kamchatsk,Valid
ru,sudislavl,Valid
XX,InvalidCity_77,Invalid
no,sauda,Valid
nz,clyde,Valid
pl,nowy tomysl,Valid
de,ihlow,Valid
ro,tetoiu,Valid
pk,shahpur city,Valid
mm,pyapon,Valid
ph,san nicolas,Valid
nz,clyde,Valid
hu,zalalovo,Valid
in,deori khas,Valid
lk,chavakachcheri,Valid
pl,wysokie mazowieckie,Valid
ro,balesti,Valid
XX,InvalidCity_33,Invalid
no,sauda,Valid
br,pimenta bueno,Valid
gr,iraklion,Valid
in,nagercoil,Valid
XX,InvalidCity_66,Invalid
XX,InvalidCity_52,Invalid
XX,InvalidCity_8,Invalid
us,north valley,Valid
in,gadarwara,Valid
XX,InvalidCity_13,Invalid
us,tulsa,Valid
fi,kuusankoski,Valid
no,storebo,Valid
ru,armizonskoye,Valid
ug,soroti,Valid
cz,dobrany,Valid
pk,shahpur city,Valid
ru,kolobovo,Valid
ru,shipitsyno,Valid
gr,iraklion,Valid
in,kaimur,Valid
no,sauda,Valid
de,blomberg,Valid
kz,mikhaylovka,Valid
co,san onofre,Valid
in,chopan,Valid
ng,biu,Valid
ph,banganan,Valid
us,tulsa,Valid
ru,chuchkovo,Valid
br,buritama,Valid
mx,san rafael,Valid
mx,tequila,Valid
us,tulsa,Valid
ru,sudislavl,Valid
gr,tinos,Valid
